Phase,Hours,Version,Workstream,Feature,Deliverable,Acceptance
Clean-room bootstrap,H1-H2,v0.1,Compliance,Repository boundary,"Create magi-next directory, AGENTS.md, clean-room rules","No legacy source files copied"
Clean-room bootstrap,H3-H4,v0.1,Compliance,License and docs,"LICENSE decision, README draft, clean-room log template","Open-source license chosen before coding"
Core skeleton,H5-H8,v0.1,TypeScript CLI,CLI app skeleton,"magi, magi -p, magi doctor command stubs; no magi-agent binary","Commands run through magi and return real status"
Core skeleton,H9-H12,v0.1,Config,Isolation roots,"~/.magi-next config/state/log/cache/plugin/skill roots and MAGI_* env prefix","No runtime default points at ~/.claude or magi-agent"
Core skeleton,H13-H16,v0.1,Config,Config loader,"YAML/JSON config with provider and alias sections","Invalid config gives actionable error"
Core skeleton,H17-H20,v0.1,Storage,Session store,"SQLite schema for sessions, messages, jobs, audit, usage under ~/.magi-next","Create/read/update session tests pass without legacy path access"
Core skeleton,H21-H22,v0.1,Quality,Isolation test,"Static and runtime tests for forbidden legacy paths, CLAUDE_* primary config, and magi-agent binary","Isolation test fails on any legacy default"
Provider routing,H23-H28,v0.1,Provider,Internal message IR,"Provider-independent message and tool schemas","OpenAI and Messages-compatible adapters use same IR"
Provider routing,H29-H34,v0.1,Provider,OpenAI adapter,"Chat/Responses adapter and streaming parser","Mock streaming tests pass"
Provider routing,H35-H38,v0.1,Provider,Messages-compatible adapter,"Explicit MAGI_* config for API key/base URL/model","No Claude Web/OAuth or CLAUDE_* primary config path exists"
Provider routing,H39-H42,v0.1,Routing,Model aliases,"main, fast, review, deep aliases","Alias resolution unit tests pass"
Provider routing,H43-H48,v0.1,Routing,Fallback routing,"Timeout, 429, 5xx, model-unavailable policies","Fallback tests cover failure classes"
Tool loop,H49-H54,v0.1,Agent,Headless tool loop,"Plan-act-observe loop for file and shell tools","magi -p can complete a simple repo task"
Tool loop,H55-H60,v0.1,Tools,File read/search,"List/read/ripgrep wrappers with size limits","Large/binary file protections tested"
Tool loop,H61-H68,v0.1,Tools,File edit and diff approval,"Patch application with approval record","Diff approval black-box tests pass"
Tool loop,H69-H76,v0.1,Tools,Bash execution,"Command approval, timeout, cwd, output capture","Dangerous command requires approval"
Tool loop,H77-H82,v0.1,Git,Git awareness,"Status, diff, branch summary","Git unavailable is handled gracefully"
v0.1 gate,H83-H90,v0.1,Quality,Scans and packaging,"Secret scan, license scan, SBOM, alpha package","Release checklist and isolation checklist pass"
TUI,H87-H96,v0.2,TUI,Interactive terminal,"Conversation view, input, streaming output","TTY smoke passes"
TUI,H97-H104,v0.2,TUI,Slash commands,"/model, /memory, /review, /status command framework","Slash commands are discoverable and tested"
TUI,H105-H110,v0.2,TUI,Session resume,"List and resume prior sessions","Resume preserves context and cwd"
Memory,H111-H118,v0.2,Rules,AGENTS.md loader,"Directory-scoped instruction loading","Nested AGENTS precedence tested"
Memory,H119-H126,v0.2,Memory,Project and user memory,"Memory read/edit commands","Writes are explicit and auditable"
MCP,H127-H136,v0.2,MCP,MCP client,"Connect local MCP servers, list tools","Mock MCP server tests pass"
MCP,H137-H142,v0.2,MCP,MCP approval,"Tool source, params, risk and approval","High-risk MCP call blocks until decision"
Mobile API,H143-H150,v0.2,Control API,Pairing and auth,"Pairing code, device record, short token","Expired pairing cannot be used"
Mobile API,H151-H160,v0.2,Control API,Jobs and SSE,"Create job, stream events, resume after seq","SSE reconnect tests pass"
